Gestion  | 2026-08-19T15:25:20.209Z  INFO 1 --- [Gestion] [etry-3000-0-C-1] k.c.c.i.ConsumerRebalanceListenerInvoker : [Consumer clientId=consumer-servicios-flota-retry-3000-3, groupId=servicios-flota-retry-3000] Adding newly assigned partitions: inicio-registro-conductor-retry-3000-0
Gestion  | 2026-08-19T15:25:20.215Z  INFO 1 --- [Gestion] [etry-6750-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-6750-4, groupId=servicios-flota-retry-6750] Successfully joined group with generation Generation{generationId=2, memberId='consumer-servicios-flota-retry-6750-4-c8346eb3-43df-4da7-91b6-06d0645d2417', protocol='range'}
Gestion  | 2026-08-19T15:25:20.216Z  INFO 1 --- [Gestion] [etry-6750-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-6750-4, groupId=servicios-flota-retry-6750] Finished assignment for group at generation 2: {consumer-servicios-flota-retry-6750-4-c8346eb3-43df-4da7-91b6-06d0645d2417=Assignment(partitions=[inicio-registro-conductor-retry-6750-0])}
Gestion  | 2026-08-19T15:25:20.220Z  INFO 1 --- [Gestion] [ner#0-dlt-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-dlt-2, groupId=servicios-flota-dlt] Found no committed offset for partition inicio-registro-conductor-dlt-0
Gestion  | 2026-08-19T15:25:20.220Z  INFO 1 --- [Gestion] [etry-3000-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-3000-3, groupId=servicios-flota-retry-3000] Found no committed offset for partition inicio-registro-conductor-retry-3000-0
Gestion  | 2026-08-19T15:25:20.220Z  INFO 1 --- [Gestion] [etry-6750-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-6750-4, groupId=servicios-flota-retry-6750] Successfully synced group in generation Generation{generationId=2, memberId='consumer-servicios-flota-retry-6750-4-c8346eb3-43df-4da7-91b6-06d0645d2417', protocol='range'}
Gestion  | 2026-08-19T15:25:20.220Z  INFO 1 --- [Gestion] [etry-4500-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-4500-1, groupId=servicios-flota-retry-4500] Found no committed offset for partition inicio-registro-conductor-retry-4500-0
Gestion  | 2026-08-19T15:25:20.221Z  INFO 1 --- [Gestion] [etry-6750-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-6750-4, groupId=servicios-flota-retry-6750] Notifying assignor about the new Assignment(partitions=[inicio-registro-conductor-retry-6750-0])
Gestion  | 2026-08-19T15:25:20.221Z  INFO 1 --- [Gestion] [etry-6750-0-C-1] k.c.c.i.ConsumerRebalanceListenerInvoker : [Consumer clientId=consumer-servicios-flota-retry-6750-4, groupId=servicios-flota-retry-6750] Adding newly assigned partitions: inicio-registro-conductor-retry-6750-0
Gestion  | 2026-08-19T15:25:20.224Z  INFO 1 --- [Gestion] [etry-6750-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-retry-6750-4, groupId=servicios-flota-retry-6750] Found no committed offset for partition inicio-registro-conductor-retry-6750-0
Gestion  | 2026-08-19T15:25:20.228Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-5, groupId=servicios-flota] Successfully joined group with generation Generation{generationId=23, memberId='consumer-servicios-flota-5-5d1d8d95-60fb-4489-ae70-8a6ba02c08a0', protocol='range'}
Gestion  | 2026-08-19T15:25:20.258Z  INFO 1 --- [Gestion] [etry-3000-0-C-1] o.a.k.c.c.internals.SubscriptionState    : [Consumer clientId=consumer-servicios-flota-retry-3000-3, groupId=servicios-flota-retry-3000] Resetting offset for partition inicio-registro-conductor-retry-3000-0 to position FetchPosition{offset=0, offsetEpoch=Optional.empty, currentLeader=LeaderAndEpoch{leader=Optional[kafka:9092 (id: 1 rack: null)], epoch=6}}.
Gestion  | 2026-08-19T15:25:20.258Z  INFO 1 --- [Gestion] [etry-4500-0-C-1] o.a.k.c.c.internals.SubscriptionState    : [Consumer clientId=consumer-servicios-flota-retry-4500-1, groupId=servicios-flota-retry-4500] Resetting offset for partition inicio-registro-conductor-retry-4500-0 to position FetchPosition{offset=0, offsetEpoch=Optional.empty, currentLeader=LeaderAndEpoch{leader=Optional[kafka:9092 (id: 1 rack: null)], epoch=6}}.
Gestion  | 2026-08-19T15:25:20.258Z  INFO 1 --- [Gestion] [ner#0-dlt-0-C-1] o.a.k.c.c.internals.SubscriptionState    : [Consumer clientId=consumer-servicios-flota-dlt-2, groupId=servicios-flota-dlt] Resetting offset for partition inicio-registro-conductor-dlt-0 to position FetchPosition{offset=0, offsetEpoch=Optional.empty, currentLeader=LeaderAndEpoch{leader=Optional[kafka:9092 (id: 1 rack: null)], epoch=6}}.
Gestion  | 2026-08-19T15:25:20.258Z  INFO 1 --- [Gestion] [etry-6750-0-C-1] o.a.k.c.c.internals.SubscriptionState    : [Consumer clientId=consumer-servicios-flota-retry-6750-4, groupId=servicios-flota-retry-6750] Resetting offset for partition inicio-registro-conductor-retry-6750-0 to position FetchPosition{offset=0, offsetEpoch=Optional.empty, currentLeader=LeaderAndEpoch{leader=Optional[kafka:9092 (id: 1 rack: null)], epoch=6}}.
Gestion  | 2026-08-19T15:25:20.259Z  INFO 1 --- [Gestion] [etry-3000-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : servicios-flota-retry-3000: partitions assigned: [inicio-registro-conductor-retry-3000-0]
Gestion  | 2026-08-19T15:25:20.259Z  INFO 1 --- [Gestion] [ner#0-dlt-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : servicios-flota-dlt: partitions assigned: [inicio-registro-conductor-dlt-0]
Gestion  | 2026-08-19T15:25:20.259Z  INFO 1 --- [Gestion] [etry-6750-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : servicios-flota-retry-6750: partitions assigned: [inicio-registro-conductor-retry-6750-0]
Gestion  | 2026-08-19T15:25:20.260Z  INFO 1 --- [Gestion] [etry-4500-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : servicios-flota-retry-4500: partitions assigned: [inicio-registro-conductor-retry-4500-0]
Gestion  | 2026-08-19T15:25:20.278Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-5, groupId=servicios-flota] Successfully synced group in generation Generation{generationId=23, memberId='consumer-servicios-flota-5-5d1d8d95-60fb-4489-ae70-8a6ba02c08a0', protocol='range'}
Gestion  | 2026-08-19T15:25:20.279Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-5, groupId=servicios-flota] Notifying assignor about the new Assignment(partitions=[inicio-registro-conductor-0, inicio-registro-conductor-1, inicio-registro-conductor-2])
Gestion  | 2026-08-19T15:25:20.279Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] k.c.c.i.ConsumerRebalanceListenerInvoker : [Consumer clientId=consumer-servicios-flota-5, groupId=servicios-flota] Adding newly assigned partitions: inicio-registro-conductor-0, inicio-registro-conductor-1, inicio-registro-conductor-2
Gestion  | 2026-08-19T15:25:20.284Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-5, groupId=servicios-flota] Found no committed offset for partition inicio-registro-conductor-1
Gestion  | 2026-08-19T15:25:20.285Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-5, groupId=servicios-flota] Found no committed offset for partition inicio-registro-conductor-2
Gestion  | 2026-08-19T15:25:20.285Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-servicios-flota-5, groupId=servicios-flota] Found no committed offset for partition inicio-registro-conductor-0
Gestion  | 2026-08-19T15:25:20.305Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] o.a.k.c.c.internals.SubscriptionState    : [Consumer clientId=consumer-servicios-flota-5, groupId=servicios-flota] Resetting offset for partition inicio-registro-conductor-1 to position FetchPosition{offset=0, offsetEpoch=Optional.empty, currentLeader=LeaderAndEpoch{leader=Optional[kafka:9092 (id: 1 rack: null)], epoch=6}}.
Gestion  | 2026-08-19T15:25:20.305Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] o.a.k.c.c.internals.SubscriptionState    : [Consumer clientId=consumer-servicios-flota-5, groupId=servicios-flota] Resetting offset for partition inicio-registro-conductor-2 to position FetchPosition{offset=0, offsetEpoch=Optional.empty, currentLeader=LeaderAndEpoch{leader=Optional[kafka:9092 (id: 1 rack: null)], epoch=6}}.
Gestion  | 2026-08-19T15:25:20.305Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] o.a.k.c.c.internals.SubscriptionState    : [Consumer clientId=consumer-servicios-flota-5, groupId=servicios-flota] Resetting offset for partition inicio-registro-conductor-0 to position FetchPosition{offset=0, offsetEpoch=Optional.empty, currentLeader=LeaderAndEpoch{leader=Optional[kafka:9092 (id: 1 rack: null)], epoch=6}}.
Gestion  | 2026-08-19T15:25:20.306Z  INFO 1 --- [Gestion] [ntainer#0-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : servicios-flota: partitions assigned: [inicio-registro-conductor-0, inicio-registro-conductor-1, inicio-registro-conductor-2]
Gestion  | 2026-08-19T15:25:54.351Z  INFO 1 --- [Gestion] [nio-8081-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
Gestion  | 2026-08-19T15:25:54.352Z  INFO 1 --- [Gestion] [nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
Gestion  | 2026-08-19T15:25:54.355Z  INFO 1 --- [Gestion] [nio-8081-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
